,ulsd
2026-05-19,4.162499904632568
2026-05-20,3.9470999240875244
2026-05-21,3.8315999507904053
2026-05-22,3.8877999782562256
2026-05-26,3.714600086212158
2026-05-27,3.5975000858306885
2026-05-28,3.6187000274658203
2026-05-29,3.5373001098632812
2026-06-01,3.639400005340576
2026-06-02,3.698699951171875
2026-06-03,3.848099946975708
2026-06-04,3.673799991607666
2026-06-05,3.587399959564209
2026-06-08,3.599900007247925
2026-06-09,3.541800022125244
2026-06-10,3.612600088119507
2026-06-11,3.5130999088287354
2026-06-12,3.404400110244751
2026-06-15,3.2664999961853027
2026-06-16,3.1702001094818115
2026-06-17,3.1946001052856445
2026-06-18,3.1273000240325928
2026-06-22,3.093100070953369
2026-06-23,3.154599905014038
2026-06-24,3.1761999130249023
2026-06-25,3.2981998920440674
2026-06-26,3.208199977874756
2026-06-29,3.331700086593628
2026-06-30,3.316800117492676
2026-07-01,3.217900037765503
2026-07-02,3.1821999549865723
2026-07-06,3.2983999252319336
2026-07-07,3.3017001152038574
2026-07-08,3.6575000286102295
2026-07-09,3.5715999603271484
2026-07-10,3.553299903869629
2026-07-13,3.8236000537872314
2026-07-14,4.0142998695373535
2026-07-15,3.9482998847961426
2026-07-16,4.030700206756592
2026-07-17,4.064599990844727
